N_EXPEDIEN;F_EXPEDIEN;CALLE;ALTURA;DIRECCION;SMP;M2;FECHA_ESTA;DESTINO;ZONIFICACI;TIPO_OBRA;BARRIO;COMUNA;CODIGO_POSTAL;CODIGO_POSTAL_ARGENTINO;LAT;LNG
1.171.495/2009;18/9/2009 00:00;FRENCH;2424;FRENCH 2424;013-008-002;-;4/10/2011 00:00;;;AVISO DE OBRA;RECOLETA;COMUNA 2;1125;C1125AAH;-34.590731377894926;-58.399534535260635
1.175.648/2009;21/9/2009 00:00;CAMPOS, LUIS M. AV.;134;CAMPOS, LUIS M. AV. 134;023-002-081;2284.02;16/8/2011 00:00;;;DEMOLICION TOTAL Y OBRA;PALERMO;COMUNA 14;1425;C1425GEO;-34.57529283984201;-58.43083812916711
1.176.481/2009;21/9/2009 00:00;COSTA RICA;4566;COSTA RICA 4566;019-065-007A;916.24;10/2/2015 00:00;;;OBRA NUEVA;PALERMO;COMUNA 14;1414;C1414BSH;-34.589010996784594;-58.42585409197155
1.176.562/2009;21/9/2009 00:00;TRES ARROYOS;822/24;TRES ARROYOS 822/24;059-182-003;1.896,37;2/3/2011 00:00;;;DEMOLICION TOTAL Y OBRA;VILLA CRESPO;COMUNA 15;1416;C1416DCH;-34.60500016108485;-58.452860660116684
1.181.584/2009;22/9/2009 00:00;BILLINGHURST;658;BILLINGHURST 658;013-019-025;545,67;16/7/2012 00:00;;;OBRA NUEVA;ALMAGRO;COMUNA 5;1174;C1174ABL;-34.60236943870655;-58.41548613112622
1.188.269/2009;23/9/2009 00:00;PIEDRA BUENA AV.;5433;PIEDRA BUENA AV. 5433;082-033-010;307.93;9/11/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VILLA RIACHUELO;COMUNA 8;1439;C1439GWL;-34.692398747862896;-58.46902265756416
1.189.482/2009;23/9/2009 00:00;RIO LIMAY;1210;RIO LIMAY 1210;018-023A-005B;152.94;6/1/2011 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;BARRACAS;COMUNA 4;1278;C1278ABB;-34.64835310050969;-58.386799046670156
1.189.738/2009;23/9/2009 00:00;DIRECTORIO AV.;709;DIRECTORIO AV. 709;040-031-024A;1.633.76;3/7/2012 00:00;;;DEMOLICION TOTAL;CABALLITO;COMUNA 6;1424;C1424CIH;-34.62852181232778;-58.43728681931615
1.200.091/2009;25/9/2009 00:00;FALCON, RAMON L.,CNEL.;4032;FALCON, RAMON L.,CNEL. 4032;054-120-001D;257.43;6/3/2012 00:00;;;DEMOLICION PARCIAL Y AMPLIACION DE OBRA;VELEZ SARSFIELD;COMUNA 10;1407;C1407GSP;-34.63558060224333;-58.48314475823676
1.201.048/2009;25/9/2009 00:00;MARTI, JOSE;348;MARTI, JOSE 348;048-021-021;1559.37;18/1/2011 00:00;;;DEMOLICION TOTAL Y OBRA;FLORES;COMUNA 7;1406;C1406FBH;-34.635745933434876;-58.47040620682527
1.205.460/2009;28/9/2009 00:00;DEL LIBERTADOR AV.;5902;DEL LIBERTADOR AV. 5902;025-062-020C;9.780,91;6/7/2011 00:00;;;OBRA NUEVA;BELGRANO;COMUNA 13;1428;C1428ARP;-34.55760037308714;-58.44707153571865
